        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603261800,   2.092,   2.597,   0.000,   0.505,   2.597,   0.000,   2.597,   0.000,   2.597
202603261806,   2.157,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261812,   2.220,   2.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261818,   2.281,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261824,   2.340,   2.748,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261830,   2.397,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261836,   2.451,   2.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261842,   2.504,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261848,   2.554,   2.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261854,   2.601,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261900,   2.646,   2.869,   0.000,   0.223,   2.869,   0.000,   2.869,   0.000,   2.869
202603261906,   2.688,   2.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261912,   2.727,   2.978,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261918,   2.763,   2.997,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261924,   2.796,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261930,   2.827,   3.030,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261936,   2.854,   3.030,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261942,   2.878,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261948,   2.899,   3.060,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261954,   2.917,   3.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603262000,   2.931,   3.079,   0.000,   0.148,   3.079,   0.000,   3.079,   0.000,   3.079
